id,title,dominant_topic,topic_name,topic_confidence
https://openalex.org/W2021177592,Seabird conservation and tidal stream and wave power generation: Information needs for predicting and managing potential impacts,0,Renewable_Energy_General,0.2
https://openalex.org/W1618435319,Nachhaltiger Ausbau der Wasserkraft in Südosteuropa – SEE Hydropower,0,Renewable_Energy_General,0.2
https://openalex.org/W3186805956,Experimental Investigation of Physical Leaky Barrier Design Implications on Juvenile Rainbow Trout (<i>Oncorhynchus mykiss</i>) Movement,4,Hydropower_Aquatic,0.9922886251904253
https://openalex.org/W4362705216,Marine spatial planning to solve increasing conflicts at sea: A framework for prioritizing offshore windfarms and marine protected areas,0,Renewable_Energy_General,0.2
https://openalex.org/W2057447378,Hydrokinetic Turbine Effects on Fish Swimming Behaviour,3,Wind_Energy_Impacts,0.5329489696341164
https://openalex.org/W2925071751,Integrating Meso-Scale Habitat Modelling in the Multicriteria Analysis (MCA) Process for the Assessment of Hydropower Sustainability,0,Renewable_Energy_General,0.5970746413862097
https://openalex.org/W1972094683,Minimizing Collision Risk Between Migrating Raptors and Marine Wind Farms: Development of a Spatial Planning Tool,0,Renewable_Energy_General,0.2
https://openalex.org/W4200449907,Root Biomass Distribution and Soil Physical Properties of Short-Rotation Coppice American Sycamore (Platanus occidentalis L.) Grown at Different Planting Densities,2,Solar_Biomass_Production,0.6731336917498705
https://openalex.org/W3088957233,The hybrid method based on ant colony optimization algorithm in multiple factor analysis of the environmental impact of solar cell technologies,2,Solar_Biomass_Production,0.9884620879010672
https://openalex.org/W1975114583,Exploring the decision-space for renewable energy generation to enhance spatial efficiency,0,Renewable_Energy_General,0.2
https://openalex.org/W108743763,Sustainability of Energy Crop Cultivation in Central Europe,0,Renewable_Energy_General,0.2
https://openalex.org/W2804958427,Assessing space use by pre-breeding white-tailed eagles in the context of wind-energy development in Finland,0,Renewable_Energy_General,0.2
https://openalex.org/W2536032521,"Potential impacts of geothermal energy use and storage of heat on groundwater quality, biodiversity, and ecosystem processes",0,Renewable_Energy_General,0.2
https://openalex.org/W2610409461,Opportunities for building resilience and lessons for navigating risks: Dams and the water energy food nexus,0,Renewable_Energy_General,0.7282094239014378
https://openalex.org/W2112072951,"Biofuel production potentials in Europe: Sustainable use of cultivated land and pastures, Part II: Land use scenarios",0,Renewable_Energy_General,0.2
https://openalex.org/W2085763697,Benthic macroinvertebrate flow sensitivity as a tool to assess effects of hydropower related ramping activities in streams in Ontario (Canada),0,Renewable_Energy_General,0.2
https://openalex.org/W3011038186,The environmental impact from an offshore windfarm: Challenge and evaluation methodology based on an ecosystem approach,0,Renewable_Energy_General,0.3862258744477539
https://openalex.org/W2101393533,Global biomass potentials under sustainability restrictions defined by the European Renewable Energy Directive 2009/28/<scp>EC</scp>,0,Renewable_Energy_General,0.9922046971898745
https://openalex.org/W2463902917,Temporal patterns in habitat use by small cetaceans at an oceanographically dynamic marine renewable energy test site in the Celtic Sea,0,Renewable_Energy_General,0.2
https://openalex.org/W2415598506,Physical Geographic Characteristics and Sustainable Development of the Mountain Area in Montenegro,0,Renewable_Energy_General,0.2
https://openalex.org/W2791057526,Valuation of Ecosystem Services for Implementing Innovative Clean Technology,0,Renewable_Energy_General,0.8817685716504539
https://openalex.org/W2294115919,Implementing land-use and ecosystem service effects into an integrated bioenergy value chain optimisation framework,0,Renewable_Energy_General,0.9345224400201583
https://openalex.org/W3112648666,GIS-AHP Multi Criteria Decision Analysis for the optimal location of solar energy plants at Indonesia,0,Renewable_Energy_General,0.667874904627969
https://openalex.org/W3154858211,Resource Occurrence and Productivity in Existing and Proposed Wind Energy Lease Areas on the Northeast US Shelf,3,Wind_Energy_Impacts,0.5868299084375366
https://openalex.org/W2742075629,Shea nut shell based catalysts for the production of ethanolic biodiesel,0,Renewable_Energy_General,0.2
https://openalex.org/W2802361211,"Fish‐Net: Probabilistic models for fishway planning, design and monitoring to support environmentally sustainable hydropower",4,Hydropower_Aquatic,0.6584987362891709
https://openalex.org/W4311689760,"Decarbonising UK transport: Implications for electricity generation, land use and policy",0,Renewable_Energy_General,0.6614964987323616
https://openalex.org/W3129063426,Bridging mapping and simulation modelling in the ecosystem service assessments of boreal forests: effects of bioenergy production on carbon dynamics,0,Renewable_Energy_General,0.7192416498236697
https://openalex.org/W2120793883,Problems and Solutions Related to Hydroelectric Power Plants Constructed on the Buyuk Menderes and the West Mediterranean Basin,4,Hydropower_Aquatic,0.6331948725425695
https://openalex.org/W1999189936,Production of biomass for energy in post-mining landscapes and nutrient dynamics,0,Renewable_Energy_General,0.2
https://openalex.org/W2210138665,Land use change within EU sustainability criteria for biofuels: The case of oil palm expansion in the Brazilian Amazon,0,Renewable_Energy_General,0.2
https://openalex.org/W4385655151,Responses of GPS-Tagged Territorial Golden Eagles Aquila chrysaetos to Wind Turbines in Scotland,3,Wind_Energy_Impacts,0.9924874602690541
https://openalex.org/W2086910100,"Emergy evaluation vs. life cycle-based embodied energy (solar, tidal and geothermal) of wood biomass resources",0,Renewable_Energy_General,0.2
https://openalex.org/W2033937481,"Hydropower in Turkey: Economical, social and environmental aspects and legal challenges",0,Renewable_Energy_General,0.2
https://openalex.org/W1859125077,Global change synergies and trade‐offs between renewable energy and biodiversity,0,Renewable_Energy_General,0.8837093171413378
https://openalex.org/W2079818229,Great skua (Stercorarius skua) movements at sea in relation to marine renewable energy developments,0,Renewable_Energy_General,0.2
https://openalex.org/W2945365245,Natural climate solutions versus bioenergy: Can carbon benefits of natural succession compete with bioenergy from short rotation coppice?,0,Renewable_Energy_General,0.8080861773827125
https://openalex.org/W2050825439,"Environmental Impact Assessment, ecosystems services and the case of energy crops in England",0,Renewable_Energy_General,0.9883066246410627
https://openalex.org/W1975635192,Environmental Impacts of the Solar Energy Systems,0,Renewable_Energy_General,0.8057337576138769
https://openalex.org/W2148126406,Greater impacts of wind farms on bird populations during construction than subsequent operation: results of a multi‐site and multi‐species analysis,3,Wind_Energy_Impacts,0.9841412313854043
https://openalex.org/W4387847632,Flight heights obtained from GPS versus altimeters influence estimates of collision risk with offshore wind turbines in Lesser Black-backed Gulls Larus fuscus,3,Wind_Energy_Impacts,0.9946010086407506
https://openalex.org/W2973039333,Sustainable bio-economy that delivers the environment–food–energy–water nexus objectives: The current status in Malaysia,0,Renewable_Energy_General,0.2
https://openalex.org/W2913841455,Assessing nutrient responses and biomass quality for selection of appropriate paludiculture crops,0,Renewable_Energy_General,0.2
https://openalex.org/W2292102232,Role of benthic habitat distribution data in coastal water wind turbine site selection,0,Renewable_Energy_General,0.2
https://openalex.org/W4220812707,Impact assessments of wind farms on seabird populations that overlook existing drivers of demographic change should be treated with caution,3,Wind_Energy_Impacts,0.9910222847218958
https://openalex.org/W2989120639,Solar and wind energy enhances drought resilience and groundwater sustainability,0,Renewable_Energy_General,0.9879631474755616
